height;time
5.403329204;1
7.32511044;2
17.47442264;3
5.595002087;4
15.27224427;5
21.64687901;6
28.36345709;7
50.02626457;8
34.64077688;9
58.23723002;10
49.44178308;11
35.87932621;12
30.04601624;13
39.48120016;14
46.61376574;15
46.28754272;16
36.46352849;17
32.34353347;18
56.87388448;19
63.73367015;20
58.38304731;21
48.26023158;22
50.37828573;23
30.49333455;24
30.47717446;25
26.7633671;26
52.09626708;27
72.81764725;28
75.35470541;29
61.8175004;30
80.34512129;31
96.43716587;32
109.2091769;33
120.9857914;34
115.405268;35
126.3974739;36
145.3630963;37
143.6505669;38
126.9962537;39
138.7530468;40
149.3753452;41
142.6308637;42
166.85105;43
151.3970394;44
154.7839012;45
118.774495;46
118.0639663;47
136.9705445;48
130.3403004;49
117.8687757;50
131.1844816;51
120.2744199;52
126.7532547;53
102.6689735;54
86.03069915;55
85.57436084;56
76.58455562;57
104.6082435;58
123.3092702;59
114.7512107;60
127.5788623;61
144.4439191;62
149.8438363;63
156.288951;64
174.5751163;65
166.354909;66
160.0369723;67
175.1099671;68
155.1638712;69
159.4904456;70
160.2715185;71
168.6008263;72
184.6037088;73
187.8037147;74
190.3007348;75
200.4345483;76
216.7471211;77
219.0727842;78
200.7447134;79
196.8674484;80
221.9137318;81
213.2878841;82
221.2886963;83
236.6759181;84
244.2227709;85
239.1544578;86
238.1262715;87
220.7666881;88
225.1864237;89
209.4219351;90
195.8724647;91
181.7853033;92
174.3436069;93
193.3684461;94
188.968431;95
189.962792;96
185.1357507;97
195.9857996;98
211.7617442;99
208.9964546;100
