height;year
11.68697103;1
22.71438891;1
11.38843189;1
12.34070307;1
16.41365805;1
7.683017476;1
20.23178166;1
10.25404284;1
23.27468794;1
7.876594261;1
17.55499063;1
4.149659894;1
17.32101405;1
7.457995581;1
28.22469506;2
25.73654385;2
27.65968169;2
25.42251437;2
18.12744451;2
31.70276461;2
18.26126807;2
35.74805729;2
36.15320231;2
28.77276351;2
28.62091347;2
35.15094531;2
34.8421312;2
20.33875018;2
42.41966518;3
34.39389499;3
47.39199436;3
45.52789563;3
48.50329061;3
40.47773924;3
42.7757868;3
43.45993964;3
30.66230707;3
40.47767339;3
50.26706966;3
33.65125867;3
35.91173077;3
43.60752788;3
50.4302047;4
54.24103142;4
45.3841709;4
57.29809359;4
51.61020511;4
57.20073725;4
56.45920798;4
53.76726424;4
51.90995168;4
60.40911584;4
45.73722839;4
53.15798768;4
57.06718061;4
53.21956811;4
71.5991701;5
70.75395579;5
77.17425745;5
76.60704709;5
69.14223033;5
64.7376649;5
59.51729626;5
60.57369531;5
63.56085293;5
72.8592526;5
66.87115638;5
62.28506521;5
72.26753134;5
64.64808557;5
86.83738962;6
75.32360261;6
74.71758232;6
76.63542146;6
77.87981689;6
79.25908792;6
86.9013314;6
82.998346;6
72.92229931;6
77.75981327;6
87.17481974;6
83.71349633;6
86.09620457;6
77.27780103;6
7.434405735;1
22.1572398;1
18.36995443;1
16.18870981;1
21.88489319;1
16.50113271;1
20.33865151;1
4.892954327;1
3.523492579;1
3.862334759;1
11.58567756;1
21.04311585;1
22.85946867;1
12.51209845;1
17.93585196;2
22.96065232;2
22.29992386;2
34.36646257;2
28.99989573;2
31.17286891;2
26.79904371;2
34.75514361;2
25.51958049;2
24.33209428;2
25.15466539;2
31.69485071;2
36.93554386;2
27.7924364;2
30.5522875;3
30.97850529;3
49.51346574;3
40.08639949;3
50.40933766;3
47.08497339;3
35.96344471;3
38.84327401;3
43.68510344;3
31.49880003;3
44.68960918;3
47.64564026;3
30.83825418;3
39.71442708;3
53.09317547;4
50.89767765;4
51.84337109;4
48.8157224;4
55.65065427;4
51.73492261;4
63.81963488;4
63.66991237;4
62.91630566;4
58.5843831;4
63.01849903;4
49.40369334;4
63.73189896;4
57.75253023;4
64.09126186;5
73.48762282;5
71.76797406;5
69.25298622;5
75.12035343;5
77.02166536;5
61.00420825;5
76.48139944;5
67.32442302;5
67.05978387;5
65.65569949;5
76.28464514;5
59.70897113;5
61.49537578;5
85.27459642;6
71.0523169;6
86.27317692;6
85.75770306;6
75.40118372;6
72.30383904;6
84.35880989;6
84.20884009;6
83.32893049;6
88.34138639;6
74.31225835;6
88.87208516;6
76.2158623;6
80.73211485;6
19.93952192;1
10.72181528;1
6.273495675;1
16.81920639;1
17.04548844;1
3.595665636;1
11.77313835;1
12.21260091;1
21.6416829;1
20.66309109;1
15.74587801;1
12.06515917;1
7.210697419;1
22.38553242;1
26.85830218;2
26.67219651;2
30.27196116;2
23.28224667;2
27.98186458;2
20.94143876;2
17.9722117;2
35.63290569;2
25.98255605;2
34.68667933;2
20.73154367;2
31.40335376;2
33.30273302;2
24.51242634;2
48.73281937;3
45.34305711;3
33.52047316;3
34.85805842;3
44.42506545;3
39.27044607;3
43.15924635;3
45.9446074;3
38.41696812;3
34.11973839;3
43.93754331;3
40.72348044;3
48.7869398;3
35.96277233;3
48.11354695;4
62.36606098;4
55.51724044;4
44.1308251;4
62.52052134;4
52.02709597;4
47.15654035;4
49.14994822;4
58.61691728;4
47.75160995;4
55.93222733;4
46.21561651;4
48.80590755;4
50.19330876;4
58.68472073;5
72.05976354;5
61.98622153;5
64.30937661;5
76.26950341;5
63.62636523;5
66.9843684;5
61.86718692;5
60.83754619;5
60.05260718;5
70.4298424;5
62.88318847;5
57.9329941;5
74.72316669;5
82.93382967;6
83.7168355;6
81.19432485;6
90.32735666;6
74.48547279;6
74.21895508;6
81.07879036;6
72.87343969;6
73.22866297;6
74.980219;6
86.10200095;6
85.60749356;6
84.55207187;6
86.00143807;6
