height;year
30.65662383;1
28.42616421;1
22.62505102;1
23.83084693;1
27.65503856;1
26.59144436;1
33.11329822;1
29.8787317;1
24.17736967;1
30.37513969;1
33.92939689;1
27.61315935;1
30.2992194;1
38.78971772;1
42.76533017;2
37.42946847;2
33.18010461;2
36.65974306;2
38.16227416;2
35.64358005;2
36.66055475;2
45.44653366;2
47.01969859;2
39.59922543;2
34.21013634;2
40.19041346;2
40.74527382;2
39.09532401;2
47.05598477;3
43.46563076;3
42.50350273;3
50.42304562;3
44.86205802;3
43.2289694;3
52.15519629;3
46.62342306;3
53.94535503;3
43.81000968;3
45.68047108;3
49.28573884;3
48.65188732;3
46.87756713;3
52.44817597;4
49.28399785;4
56.09878604;4
56.1702612;4
52.98219756;4
53.32497681;4
57.07361817;4
52.98766245;4
60.08302848;4
52.78788155;4
45.91852438;4
49.04494871;4
57.13044933;4
50.77169956;4
56.45925704;5
59.35153488;5
53.66671564;5
62.06415613;5
60.17936116;5
52.75998174;5
57.37963325;5
63.53018042;5
62.03853588;5
55.59316298;5
51.71015183;5
58.56929056;5
55.65523846;5
62.60823146;5
62.59775828;6
64.27254217;6
57.67913165;6
56.97392282;6
63.96766315;6
60.50540372;6
55.95739852;6
58.41054555;6
56.92778874;6
60.55273834;6
60.89294353;6
58.15809289;6
63.31951196;6
57.95315081;6
24.67084663;1
30.28225148;1
31.85637275;1
31.156634;1
18.46023567;1
20.6612329;1
23.07643581;1
33.30003835;1
25.8198418;1
26.4912265;1
28.39844063;1
24.92724411;1
30.55434556;1
34.73428642;1
31.14301703;2
40.62794176;2
43.36750463;2
37.10539484;2
39.54883437;2
41.66613901;2
46.81027215;2
31.93515773;2
40.38236562;2
40.69117714;2
36.24013161;2
47.70362698;2
41.30166127;2
43.84102879;2
44.13207501;3
50.8528594;3
43.70597666;3
45.83992669;3
48.55440737;3
45.75708266;3
46.91494644;3
50.57500745;3
39.06360053;3
48.65450536;3
44.49685787;3
51.3990975;3
44.50418571;3
50.91786983;3
54.20041338;4
51.26251791;4
60.69722279;4
56.98759209;4
55.81407856;4
55.70719635;4
58.85774566;4
58.01557777;4
55.21143551;4
49.47227293;4
49.06738675;4
51.18470904;4
50.60136537;4
53.03827802;4
54.18182823;5
60.02616103;5
58.41621258;5
46.27810661;5
54.74106252;5
59.12779295;5
51.01882984;5
55.67411737;5
55.22911237;5
58.98690772;5
51.20825764;5
53.4457993;5
58.94151839;5
54.25960832;5
59.91642202;6
69.45761906;6
59.22950192;6
53.50703067;6
65.56856786;6
58.05081647;6
57.36237886;6
64.12919865;6
61.29726823;6
70.41214097;6
59.61358756;6
62.20967367;6
61.55616762;6
54.27285138;6
